title,date,link
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 NOVEMBER 2024,2024-12-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=7313090&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 OCTOBER 2024,2024-11-05,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=7301194&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6417482&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT NON-FULFILLMENT OF PRE-CONDITIONS AND LAPSE OF THE PROPOSAL IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-10-18,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6348938&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-18,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6347220&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-17,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340902&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340168&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-10-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340144&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-15,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6339732&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-14,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6338971&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-10,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6338127&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-09,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6337047&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-08,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6336627&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-07,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6336099&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-04,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6335651&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6335247&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6334622&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 SEPTEMBER 2024,2024-10-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6334585&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-30,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6333086&lang=en-GB&companycode=hk-570&v=redesign
List of Directors and their Role and Function,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332450&lang=en-GB&companycode=hk-570&v=redesign
CHANGE OF DIRECTORS AND PRESIDENT,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332447&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332369&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332368&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332367&lang=en-GB&companycode=hk-570&v=redesign
Letter to Non-registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329926&lang=en-GB&companycode=hk-570&v=redesign
Letter to Registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329906&lang=en-GB&companycode=hk-570&v=redesign
Interim Report 2024,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329897&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-09-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5755796&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 AUGUST 2024,2024-09-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5750663&lang=en-GB&companycode=hk-570&v=redesign
VOLUNTARY ANNOUNCEMENT THE CATEGORY 3.1 TRADITIONAL CHINESE MEDICINE COMPOUND PREPARATIONS REGULATED AS THE ANCIENT CLASSIC FORMULAE DANGGUI BUXUE TANG GRANULES APPROVED FOR MARKETING,2024-08-29,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747740&lang=en-GB&companycode=hk-570&v=redesign
ANNOUNCEMENT OF INTERIM RESULTS FOR THE SIX MONTHS ENDED 30 JUNE 2024,2024-08-28,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747324&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-08-28,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747069&lang=en-GB&companycode=hk-570&v=redesign
APPOINTMENT OF INDEPENDENT FINANCIAL ADVISER,2024-08-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5746231&lang=en-GB&companycode=hk-570&v=redesign
